Paper,Venue,Year,Evidence_Domain,Peer_Reviewed_CCF_Core,Persistent_ID,Exact_Paper_URL,Official_Code_URL,Code_Status,Source_Checked_Date
MusFlow: Multimodal Music Generation via Conditional Flow Matching,ACM MM,2025,Multimodal,YES,DOI:10.1145/3746027.3755482; arXiv:2504.13535,https://doi.org/10.1145/3746027.3755482,https://musflow.github.io/,PROJECT_PAGE_RELEASE_STATUS_PARTIAL,2026-09-07
Temporal-Conditioned Symbolic Alignment for Controllable Text-to-Music Generation,ACM MM,2025,Editing / control,NO_TIER_C,,,,,
Context-aware Image-to-Music Generation,ACM MM,2025,Generation,NO_TIER_C,,,,,
FreeSVC,ICASSP,2025,Singing / transcription / performance,NO_TIER_C,,,,,
AI-Generated Music Detection Challenges and Solutions,ICASSP,2025,Evaluation / robustness,NO_TIER_C,,,,,
Unsupervised Domain Adaptation for Music Transcription via Cross-Version Consistency,ICASSP,2025,Singing / transcription / performance,NO_TIER_C,,,,,
JEN-1 Composer,AAAI,2025,Generation,NO_TIER_C,,,,,
SongEditor: Adapting Zero-Shot Song Generation Language Model as a Multi-Task Editor,AAAI,2025,Editing / control,YES,DOI:10.1609/aaai.v39i24.34750,https://ojs.aaai.org/index.php/AAAI/article/view/34750,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
GVMGen: A General Video-to-Music Generation Model with Hierarchical Attentions,AAAI,2025,Multimodal,YES,DOI:10.1609/aaai.v39i21.34474; arXiv:2501.09972,https://ojs.aaai.org/index.php/AAAI/article/view/34474,https://github.com/chouliuzuo/GVMGen,OFFICIAL_CODE_LOCKED,2026-09-07
CSSinger,AAAI,2025,Singing / transcription / performance,NO_TIER_C,,,,,
Compose with Me,AAAI,2025,Symbolic,NO_TIER_C,,,,,
Aria-MIDI: A Dataset of MIDI Files for Symbolic Music Modeling,ICLR,2025,Symbolic,NO_TIER_C,,,,,
CMI-Bench: A Comprehensive Benchmark for Evaluating Music Instruction Following,ISMIR,2025,Music understanding / Music-LM,YES,arXiv:2506.12285; ISMIR2025:P4-6,https://arxiv.org/abs/2506.12285,https://github.com/nicolaus625/CMI-bench,OFFICIAL_CODE_LOCKED,2026-09-07
DiffRhythm 2: Efficient And High Fidelity Song Generation Via Block Flow Matching,Open-source preprint / ecosystem,2025,Generation,NO_ECOSYSTEM_ONLY,GitHub:xiaomi-research/diffrhythm2,https://github.com/xiaomi-research/diffrhythm2,https://github.com/xiaomi-research/diffrhythm2,ECOSYSTEM_ONLY,2026-09-07
SyMuPe: Affective and Controllable Symbolic Music Performance,ACM MM,2025,Editing / control,YES,DOI:10.1145/3746027.3755871; arXiv:2511.03425,https://doi.org/10.1145/3746027.3755871,https://github.com/ilya16/SyMuPe,OFFICIAL_CODE_LOCKED,2026-09-07
Spatial-Temporal Decomposition and Alignment in Controllable Video-to-Music Generation,ACM MM,2025,Multimodal,YES,DOI:10.1145/3746027.3755523,https://doi.org/10.1145/3746027.3755523,https://github.com/chouliuzuo/ControllableV2M,OFFICIAL_CODE_LOCKED,2026-09-07
