Paper,Venue,Year,Evidence_Domain,Peer_Reviewed_CCF_Core,Persistent_ID,Exact_Paper_URL,Official_Code_URL,Code_Status,Source_Checked_Date
Continuous Audio Language Models,ICLR,2026,Representation / codec,YES,ICLR2026:dd51dbce305433cd60910dc5b0147be4,https://proceedings.iclr.cc/paper_files/paper/2026/hash/dd51dbce305433cd60910dc5b0147be4-Abstract-Conference.html,https://huggingface.co/kyutai/pocket-tts,PARTIAL_RELEASE_POCKET_TTS_NOT_FULL_MUSIC_CALM,2026-09-07
Music Atelier: Exploring the Knowing–Doing Gap in LLM Creativity via Symbolic Music Composition,IJCAI,2026,Music understanding / Music-LM,YES,IJCAI2026:#108,https://2026.ijcai.org/accepted-papers/,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
TTA-Bench,AAAI,2026,Evaluation / robustness,YES,DOI:10.1609/aaai.v40i39.40639,https://ojs.aaai.org/index.php/AAAI/article/view/40639,https://github.com/NKU-HLT/TTA-Bench-tools,OFFICIAL_CODE_LOCKED,2026-09-07
Polyphonia: Zero-Shot Timbre Transfer in Polyphonic Music with Acoustic-Informed Attention Calibration,ICML,2026,Editing / control,YES,arXiv:2605.10203,https://arxiv.org/abs/2605.10203,https://github.com/Ltx-Leif/polyphonia,OFFICIAL_CODE_LOCKED,2026-09-07
"AudioChat: Unified Audio Storytelling, Editing, and Understanding with Transfusion Forcing",ICML,2026,Multimodal,YES,arXiv:2602.17097,https://arxiv.org/abs/2602.17097,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
Scaling Transformers for End-to-End Discrete Audio Tokenization,ICML,2026,Representation / codec,NO_TIER_C,,,,,
SPEAR: A Unified SSL Framework for Learning Speech and Audio Representations,ICML,2026,Representation / codec,NO_TIER_C,,,,,
SALSA-V: Shortcut-Augmented Long-form Synchronized Audio from Videos,ICML,2026,Multimodal,YES,arXiv:2510.02916,https://arxiv.org/abs/2510.02916,https://github.com/ETH-DISCO/SALSA-V,OFFICIAL_CODE_LOCKED,2026-09-07
Towards Streaming Synchronized Spatial Audio Generation via Autoregressive Diffusion Transformer,ICML,2026,Generation,NO_TIER_C,,,,,
TMD-Bench: Multi-Level Evaluation for Music–Dance Co-Generation,ICML,2026,Evaluation / robustness,NO_TIER_C,,,,,
Towards Fine-grained Audio Captioning with Multimodal Contextual Fusion,ACL,2026,Generation,NO_TIER_C,,,,,
Music Audio-Visual Question Answering Requires Specialized Multimodal Designs,Findings of ACL,2026,Music understanding / Music-LM,YES,DOI:10.18653/v1/2026.findings-acl.69; arXiv:2505.20638,https://aclanthology.org/2026.findings-acl.69/,https://github.com/WenhaoYou1/Survey4MusicAVQA,OFFICIAL_CODE_LOCKED,2026-09-07
MIDILM: A Dual-Path Model for Controllable Text-to-MIDI Generation,AAAI,2026,Editing / control,YES,DOI:10.1609/aaai.v40i28.39483,https://ojs.aaai.org/index.php/AAAI/article/view/39483,https://github.com/Large-Multimodal-Model-Lab/MIDILM,OFFICIAL_CODE_LOCKED,2026-09-07
SteerMusic,AAAI,2026,Editing / control,NO_TIER_C,,,,,
Is Symbolic Music a Specific Language? Exploring Inspiration-to-Structure Machine Composition via LLMs,AAAI,2026,Symbolic,YES,DOI:10.1609/aaai.v40i3.37163,https://ojs.aaai.org/index.php/AAAI/article/view/37163,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
"Video Echoed in Music: Semantic, Temporal, and Rhythmic Alignment for Video-to-Music Generation",AAAI,2026,Multimodal,YES,DOI:10.1609/aaai.v40i31.39799,https://ojs.aaai.org/index.php/AAAI/article/view/39799,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
Inference-time Scaling for Diffusion-based Audio Super-resolution,AAAI,2026,Generation,YES,DOI:10.1609/aaai.v40i17.38520; arXiv:2508.02391,https://ojs.aaai.org/index.php/AAAI/article/view/38520,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
ControlFoley: Unified and Controllable Video-to-Audio Generation with Cross-Modal Conflict Handling,ACM MM,2026,Multimodal,YES,arXiv:2604.15086,https://arxiv.org/abs/2604.15086v2,https://github.com/xiaomi-research/controlfoley,OFFICIAL_CODE_LOCKED,2026-09-07
"Enhance, Then Separate: A Two-Stage Framework for Music Source Restoration",ICASSP,2026,Separation / restoration / production,YES,DOI:10.1109/ICASSP55912.2026.11464499,https://doi.org/10.1109/ICASSP55912.2026.11464499,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
Automatic Song Aesthetics Evaluation Challenge,ICASSP,2026,Evaluation / robustness,YES,ICASSP2026:ASAE-Challenge,https://aslp-lab.github.io/Automatic-Song-Aesthetics-Evaluation-Challenge/,https://aslp-lab.github.io/Automatic-Song-Aesthetics-Evaluation-Challenge/,OFFICIAL_CODE_LOCKED,2026-09-07
S²Voice,ICASSP,2026,Singing / transcription / performance,NO_TIER_C,,,,,
Of All StrIPEs: Investigating Structure-Informed Positional Encoding for Efficient Music Generation,IEEE/ACM TASLP,2026,Symbolic,NO_TIER_C,,,,,
HQ-SVC: Towards High-Quality Zero-Shot Singing Voice Conversion in Low-Resource Scenarios,AAAI,2026,Singing / transcription / performance,YES,DOI:10.1609/aaai.v40i36.40249; arXiv:2511.08496,https://ojs.aaai.org/index.php/AAAI/article/view/40249,https://github.com/ShawnPi233/HQ-SVC,OFFICIAL_CODE_LOCKED,2026-09-07
GOMPSNR: Reflourish the Signal-to-Noise Ratio Metric for Audio Generation Tasks,AAAI,2026,Evaluation / robustness,YES,DOI:10.1609/aaai.v40i36.40298,https://ojs.aaai.org/index.php/AAAI/article/view/40298,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
Automatic Music Mixing Using a Generative Model of Effect Embeddings,ICASSP,2026,Separation / restoration / production,YES,DOI:10.1109/ICASSP55912.2026.11462677; arXiv:2511.08040,https://doi.org/10.1109/ICASSP55912.2026.11462677,https://github.com/SonyResearch/MEGAMI,OFFICIAL_CODE_LOCKED,2026-09-07
Summary of The Inaugural Music Source Restoration Challenge,ICASSP,2026,Evaluation / robustness,YES,DOI:10.1109/ICASSP55912.2026.11462762; arXiv:2601.04343,https://doi.org/10.1109/ICASSP55912.2026.11462762,https://msrchallenge.com/,OFFICIAL_CHALLENGE_RESOURCE_LOCKED,2026-09-07
Towards Blind Data Cleaning: A Case Study in Music Source Separation,ICASSP,2026,Separation / restoration / production,NO_TIER_C,,,,,
Do Foundational Audio Encoders Understand Music Structure?,ICASSP,2026,Music understanding / Music-LM,YES,DOI:10.1109/ICASSP55912.2026.11464137; arXiv:2512.17209,https://doi.org/10.1109/ICASSP55912.2026.11464137,https://github.com/sony/MSA-bench,OFFICIAL_CODE_LOCKED,2026-09-07
MMAudioSep: Taming Video-to-Audio Generative Model Towards Video/Text-Queried Sound Separation,ICASSP,2026,Multimodal,YES,DOI:10.1109/ICASSP55912.2026.11462711; arXiv:2510.09065,https://doi.org/10.1109/ICASSP55912.2026.11462711,https://github.com/sony/mmaudiosep,OFFICIAL_CODE_LOCKED,2026-09-07
Diffusion Timbre Transfer Via Mutual Information Guided Inpainting,ICASSP,2026,Editing / control,YES,DOI:10.1109/ICASSP55912.2026.11464056; arXiv:2601.01294,https://doi.org/10.1109/ICASSP55912.2026.11464056,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
VioPTT: Violin Technique-Aware Transcription from Synthetic Data Augmentation,ICASSP,2026,Singing / transcription / performance,NO_TIER_C,,,,,
Noise-to-Notes: Diffusion-Based Generation and Refinement for Automatic Drum Transcription,ICASSP,2026,Singing / transcription / performance,NO_TIER_C,,,,,
FoleyBench: A Benchmark For Video-to-Audio Models,ICASSP,2026,Multimodal,NO_TIER_C,,,,,
Fine-Tuning BigVGAN-V2 for Robust Musical Tuning Preservation,ICASSP,2026,Evaluation / robustness,YES,DOI:10.1109/ICASSP55912.2026.11460697,https://doi.org/10.1109/ICASSP55912.2026.11460697,https://www.audiolabs-erlangen.de/resources/MIR/2026-ICASSP-VocoderFineTuning,OFFICIAL_CODE_LOCKED,2026-09-07
Beethoven Symphony Excerpt Dataset (BSED): An Evaluation Dataset for Orchestral Music Transcription,TISMIR,2026,Evaluation / robustness,YES,Zenodo:20344500,https://zenodo.org/records/20344500,https://www.audiolabs-erlangen.de/resources/MIR/2026-BSED-BSD,OFFICIAL_CODE_LOCKED,2026-09-07
Music Flamingo: Scaling Music Understanding in Audio Language Models,ICLR,2026,Music understanding / Music-LM,YES,arXiv:2511.10289,https://proceedings.iclr.cc/paper_files/paper/2026/hash/7f64034009f4a5fa417a57e1a987c5cd-Abstract-Conference.html,https://huggingface.co/nvidia/music-flamingo-2601-hf,OFFICIAL_CODE_LOCKED,2026-09-07
LLM2Fx-Tools: Tool Calling For Music Post-Production,ICLR,2026,Separation / restoration / production,YES,arXiv:2512.01559,https://proceedings.iclr.cc/paper_files/paper/2026/hash/a4b0057a452dfc8ad4c31dce819274d7-Abstract-Conference.html,https://github.com/SonyResearch/LLM2Fx,OFFICIAL_CODE_LOCKED,2026-09-07
Jamendo-MT-QA: A Benchmark for Multi-Track Comparative Music Question Answering,Findings of ACL,2026,Music understanding / Music-LM,YES,arXiv:2604.09721,https://aclanthology.org/2026.findings-acl.125/,https://github.com/MAAP-LAB/Jamendo-MT-QA,OFFICIAL_CODE_LOCKED,2026-09-07
Revisiting Audio-language Pretraining for Learning General-purpose Audio Representation,ACL,2026,Music understanding / Music-LM,YES,ACL2026:acl-long.1581,https://aclanthology.org/2026.acl-long.1581/,https://github.com/AudenAI/Auden,OFFICIAL_CODE_LOCKED,2026-09-07
AudioX: A Unified Framework for Anything-to-Audio Generation,ICLR,2026,Multimodal,YES,ICLR2026:AudioX; arXiv:2503.10522,https://arxiv.org/abs/2503.10522,https://github.com/ZeyueT/AudioX,OFFICIAL_CODE_LOCKED,2026-09-07
ACE-Step 1.5: Open Music Foundation Model Ecosystem Release,Open-source ecosystem / technical release,2026,Editing / control,NO_ECOSYSTEM_ONLY,GitHub:ACE-Step-1.5,https://github.com/ace-step/ACE-Step-1.5,https://github.com/ace-step/ACE-Step-1.5,ECOSYSTEM_ONLY,2026-09-07
