Paper,Year,Venue,Area,CCF_AB_core,Task,Input,Output,Model_architecture,Parameter_count,Dataset,Benchmark_registry,Official_code_or_project_URL,Release_status,Weights_status,Data_access_status,Checked_revision,Revision_status
AI-Generated Song Detection via Lyrics Transcripts,2025,ISMIR,Evaluation / robustness,NO_TIER_C,AI-music detection,Song / lyric transcript,Detection label,Not yet verified,Not yet verified,Not yet verified,,https://github.com/deezer/robust-AI-lyrics-detection,official code/project checked 2026-09-18,Depends on public transcription/feature backbones; paper-specific detector artifacts are produced by the released pipeline.,Dataset JSON schema and evaluation scenarios are documented; underlying music access depends on source datasets/platforms.,84e8d15a43e74383ad5c8c37d5602d5bdb518749,LOCKED
Aligning Text-to-Music Evaluation With Human Preferences,2025,ISMIR,Evaluation / robustness,YES,Music evaluation,Prompts + generated music + preferences,Aligned evaluation score,Evaluation study + MAUVE Audio Divergence (MAD) over self-supervised music/audio embeddings (MERT default implementation).,Metric; embedding backbone dependent,"MusicPrefs open human-preference dataset: ~5.04k pairwise rows, 120 prompts, 7 TTM systems; meta-evaluations also use FMA-Pop reference subset and controlled references.",,https://github.com/i-need-sleep/mad,official code checked,"Uses public embedding backbone(s), MERT default",Yes — MusicPrefs on Hugging Face; MAD code and FMA-Pop reference workflow public.,6ae418bce3fe68056668dde3a1b0bfeaed8e32fe,LOCKED
Instruct-MusicGen: Unlocking Text-to-Music Editing for Music Language Models via Instruction Tuning,2025,ISMIR,Evaluation / robustness,YES,Music editing / instruction tuning,Existing music + edit instruction,Edited music,MusicGen-based instruction-tuned editor with additional editing components,264M trainable; ~3.5B total reported,Slakh-based ~145 h training setup reported,,https://github.com/ldzhangyx/instruct-MusicGen,official code checked,Community/retrained checkpoint public; note repo says it is not Sony official,Slakh public,037c2da2458dc07a745ff7ddbef15a3a28082b4c,LOCKED
Perceptual Errors in Music Source Separation: Looking Beyond SDR Averages,2025,ISMIR,Evaluation / robustness,YES,Evaluation / source separation,Separated stems + references + listener judgments,Error categories / perceptual ratings / metric analysis,"Evaluation methodology, not a new separator",,"Listening-study examples across 6-stem, lead-vs-backing-vocal and duet separation",,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,,Study stimuli/status to verify,,
Tuning Matters: Analyzing Musical Tuning Bias in Neural Vocoders,2025,ISMIR,Evaluation / robustness,YES,Vocoder / representation robustness,Mel/spectral representation of differently tuned music,Reconstructed audio,Evaluation of HAWT 15M and BigVGAN/BigVGAN-V2 112M neural vocoders plus signal-processing baseline; pitch-shifted tuning augmentation covers target tuning roughly ±50 cents.,HAWT 15M; BigVGAN family ~112M,BPSD: 352 Beethoven piano recordings (~40 h); Schubert Winterreise: 9 complete recordings (~10.5 h); Violin Etudes: 925 collected / 651 retained after estimator-agreement filtering (~28 h before filtering).,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Public evaluated vocoders,Mixed: public/curated recordings; exact individual source licenses vary.,,
Universal Music Representations? Evaluating Foundation Models on World Music Corpora,2025,ISMIR,Evaluation / robustness,YES,Music understanding / representation evaluation,Music audio,Downstream labels / embeddings,MERT/CLAP/Qwen2-Audio representations + lightweight downstream fine-tuning,Trainable downstream parameters reported around 13M–56M depending model,"Six corpora covering Western, Greek, Turkish, Indian and other music traditions",,https://github.com/pxaris/FM-music-tagging,official code checked,Backbone weights public for evaluated open models,Several corpora public/research-access,8f4a6d6d9d8d71b22c4b840d0edeeb3255b3cd2e,LOCKED
Context-aware Image-to-Music Generation,2025,ACM MM,Generation,NO_TIER_C,Image-to-music,Image/context,Music,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
DiffRhythm 2: Efficient And High Fidelity Song Generation Via Block Flow Matching,2025,Open-source preprint / ecosystem,Generation,NO_ECOSYSTEM_ONLY,Full-song generation / lyrics-to-song,Lyrics + style/text or short style audio prompt,Full song up to ~210s in current default code,Semi-autoregressive block flow matching,Exact current released model parameter count pending normalization,Training data/reproducibility not fully normalized,,https://github.com/xiaomi-research/diffrhythm2,ecosystem release,Yes — official released weights,Not strict-training reproducible yet,13a7b091f45124f611e36ee674973234f38d55b6,LOCKED
ETTA: Elucidating the Design Space of Text-to-Audio Models,2025,ICML,Generation,YES,Text-to-audio / text-to-music design study,Text prompt,Audio/music,Diffusion/flow matching design-space study; best model ETTA,Not yet extracted,"AudioCaps, MusicCaps, AF-Synthetic and public-data training setup",,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Weights status to verify,AF-Synthetic/public benchmark data,,
Generative Audio Language Modeling with Continuous-valued Tokens and Masked Next-Token Prediction,2025,ICML,Generation,YES,Audio language modeling / generation,Audio / text condition,Generated audio,Transformer LM + token-wise diffusion over continuous tokens; masked next-token objective,193M Base / 462M Large,AudioCaps and related datasets; music capability evaluated in broader audio setup,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Weights status to verify,AudioCaps public,,
IMPACT: Iterative Mask-based Parallel Decoding for Text-to-Audio Generation with Diffusion Modeling,2025,ICML,Generation,YES,Fast text-to-audio / music generation,Text prompt,Audio/music,Iterative mask-based parallel decoder with diffusion modeling,Not yet extracted,Standard TTA benchmarks; exact data pending,,https://audio-impact.github.io/,official code checked,Weights status to verify,Benchmarks public,,
JEN-1 Composer,2025,AAAI,Generation,NO_TIER_C,Music generation,Text/music conditions,Music,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
LeVo: High-Quality Song Generation with Multi-Preference Alignment,2025,NeurIPS,Generation,YES,Long-form lyrics-to-song generation,Lyrics + conditions,Full song / vocals / accompaniment,LeLM with mixed-token and dual-track token modeling + music codec + DPO multi-preference alignment,LeLM 2.136B; MuEncoder ~300M; DiT ~700M; VAE ~150M in inspected paper,~110k hours / ~2M songs reported; training data not public,,https://github.com/tencent-ailab/songgeneration,official code checked,Yes,No,,UNRESOLVED_AT_CHECK
Live Music Models,2025,NeurIPS,Generation,YES,Realtime / interactive music generation,Text/audio prompt + ongoing user control,Continuous music stream,"Realtime generative music model; Magenta RealTime open weights, Lyria RealTime API",Magenta RealTime smaller than several open baselines; exact release variants pending,Large-scale music training data; exact public status mixed,,https://github.com/magenta/magenta-realtime,official code checked,Yes,Training data not fully public,694a545e4ba0b88bf1150137b129582166d3e07f,LOCKED
QA-MDT: Quality-aware Masked Diffusion Transformer for Enhanced Music Generation,2025,IJCAI,Generation,YES,Text-to-music generation / data quality / masked diffusion,Text,Music audio,Quality-aware training + masked diffusion transformer + three-stage caption refinement.,Not yet verified,Not yet verified,,https://github.com/ivcylc/OpenMusic,official code checked,Unknown / not yet verified,Unknown / not yet verified,ceebbdbee6961be7b6402529e437122c240fdef1,LOCKED
RISE: Music Rearrangement for Realtime Intensity Synchronization With Exercise,2025,ISMIR,Generation,NO_TIER_C,Realtime adaptive music,Music + exercise intensity,Rearranged music stream,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
SongBloom: Coherent Song Generation via Interleaved Autoregressive Sketching and Diffusion Refinement,2025,NeurIPS,Generation,YES,Long-form song generation,Lyrics/conditions,Full song audio,Interleaved autoregressive sketch extension + diffusion refinement,Not yet extracted,Large music corpus; exact public status pending,,https://github.com/tencent-ailab/SongBloom,official code checked,"Yes — 2B 150s, 150s-DPO and 240s variants",Training data status unclear/nonpublic,,UNRESOLVED_AT_CHECK
Controllable Video-to-Music Generation with Multiple Time-Varying Conditions,2025,ACM MM,Multimodal,YES,Controllable video-to-music / multiple time-varying conditions,Video + time-varying controls,Music,"Two-stage training with fine-grained feature selection, progressive temporal alignment, dynamic conditional fusion and control-guided decoder.",Not yet verified,Not yet verified,,https://kita-wjx.github.io/MCV2M/,official code checked,Unknown / not yet verified,Unknown / not yet verified,,
GVMGen: A General Video-to-Music Generation Model with Hierarchical Attentions,2025,AAAI,Multimodal,YES,Video-to-music generation / alignment,Video,Music,Hierarchical spatial and temporal attentions plus dedicated alignment evaluation model/metrics.,Not yet verified,Large-scale diverse video-music pair dataset introduced in paper.,,https://github.com/chouliuzuo/GVMGen,official code checked,Unknown / not yet verified,Unknown / not yet verified,66d7c0c1bb432495c291a727a8a2a4dd348d7ab5,LOCKED
MusFlow: Multimodal Music Generation via Conditional Flow Matching,2025,ACM MM,Multimodal,YES,Image/story/caption/multimodal-to-music generation,Music conditions,Generated music,Conditional Flow Matching in VAE latent space; multimodal conditions aligned into CLAP space.,Not yet verified,"MMusSet: image, story text, music caption and music quadruples constructed with an annotation pipeline.",,https://musflow.github.io/,project page / partial release,Unknown / not yet verified,Unknown / not yet verified,,
Sounding that Object: Interactive Object-Aware Image to Audio Generation,2025,ICML,Multimodal,YES,Multimodal image-to-audio,Image + selected object/segment,Generated audio,Object-centric conditional latent diffusion + multimodal attention + test-time segmentation,Not yet extracted,Audio-visual datasets; exact list pending,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Weights status to verify,Datasets mixed,,
Spatial-Temporal Decomposition and Alignment in Controllable Video-to-Music Generation,2025,ACM MM,Multimodal,YES,Controllable video-to-music / spatial-temporal alignment,Video + control conditions,Music audio,Flow-matching V2M with spatial-temporal feature decomposition and alignment.,,,,https://github.com/chouliuzuo/ControllableV2M,official code checked,,,18b6b5117c5f5247947451d6b2d52aa460c353e0,LOCKED
CMI-Bench: A Comprehensive Benchmark for Evaluating Music Instruction Following,2025,ISMIR,Music understanding / Music-LM,YES,Music understanding / audio-language models / benchmark,Music audio + natural-language instruction,Text/structured MIR answer,"Benchmark of 11 open-weight audio-text LLMs: Pengi, AudioFlamingo, LTU/LTU-AS, MusiLingo, MU-LLaMA, GAMA/GAMA-IT, Qwen-Audio/Qwen2-Audio, SALMONN.",~323M to ~13B across evaluated models,"14 MIR instruction tasks derived from 20 public source datasets; Hugging Face benchmark is test-only and ~57.7GB. Tasks include key, tagging, instrument, pitch, beat/downbeat, melody, technique, lyrics and affect.",YES,https://github.com/nicolaus625/CMI-bench,official code checked,Uses open-weight evaluated models,Yes for benchmark assembly; underlying source-dataset licenses differ,1623c2f7aee85c38cd3c7beff34f6aebdc02a291,LOCKED
DeepResonance: Enhancing Multimodal Music Understanding via Music-centric Multi-way Instruction Tuning,2025,EMNLP,Music understanding / Music-LM,YES,Multimodal music understanding LLM,Audio/music + text,Text answer/representation,NExT-GPT/Vicuna-style music LLM with multi-sampled ImageBind embeddings and pre-LLM fusion Transformer.,Not yet verified,"Music4way-MI2T, Music4way-MV2T, Music4way-Any2T.",,https://github.com/sony/DeepResonance,official code checked,Unknown / not yet verified,Unknown / not yet verified,6a4d2196562bd9e72a4a58635a6b496241f5410a,LOCKED
SLAP: Siamese Language-Audio Pretraining Without Negative Samples for Music Understanding,2025,ISMIR,Music understanding / Music-LM,YES,Music-text representation / language-audio pretraining,Music audio + text,Joint embedding,BYOL-style Siamese language-audio pretraining without negative samples.,Not yet verified,Not yet verified,,https://github.com/Pliploop/SLAP,official code checked,Unknown / not yet verified,Unknown / not yet verified,b49290186ee354d34798f9947110a375f9e3f5a7,LOCKED
When Audio and Text Disagree: Revealing Text Bias in Large Audio-Language Models,2025,EMNLP,Music understanding / Music-LM,YES,Audio-language model robustness / cross-modal conflict,Conflicting audio + text,Answer/classification,Benchmark/analysis across LALMs; supervised fine-tuning mitigation experiments.,Not yet verified,MCR-BENCH inconsistent audio-text pairs across audio understanding tasks.,,https://github.com/WangCheng0116/MCR-BENCH,official code checked,Unknown / not yet verified,Unknown / not yet verified,448a3f26d2b282b0f6b2439274de46997ee2d21d,LOCKED
WildScore: Benchmarking MLLMs in-the-Wild Symbolic Music Reasoning,2025,EMNLP,Music understanding / Music-LM,YES,Multimodal music understanding / reasoning,Score image + question,Answer / reasoning,Benchmark of general MLLMs; no new large model required,Varies by evaluated MLLM,Wild score images/questions sourced from real-world material (including Reddit); exact split in paper,YES,https://github.com/GaganVM/WildScore,official code checked,,Dataset release status in paper,24025c4a5876faa1ccae0b706606462abb50b24a,LOCKED
ALMTokenizer: A Low-bitrate and Semantic-rich Audio Codec Tokenizer for Audio Language Modeling,2025,ICML,Representation / codec,YES,Audio codec / tokenization,Audio,Discrete codec tokens + reconstruction,Query-based context compression + MAE loss + semantic-prior VQ + AR prediction,Not yet extracted,Audio understanding/generation benchmarks; exact training data pending,,https://github.com/yangdongchao/ALMTokenizer,official code checked,Weights status to verify,Mixed,62875d6181ba58bf6e8f6a60082460c2079710b0,LOCKED
Beyond Genre: Diagnosing Bias in Music Embeddings Using Concept Activation Vectors,2025,ISMIR,Representation / codec,NO_TIER_C,Representation interpretability / bias,Music embedding/audio,Concept activation/bias analysis,Not yet verified,Not yet verified,Not yet verified,,https://github.com/WhoCares96/CAV-MIR,official code/project checked 2026-09-18,Uses pretrained embedding models; no paper-specific model checkpoint required for the CAV analysis.,STraDa metadata/access instructions plus supplementary annotations are provided.,ec96d4109a9397876966e0de37511cf27d6332e4,LOCKED
CoDiCodec: Unifying Continuous and Discrete Compressed Representations of Audio,2025,ISMIR,Representation / codec,NO_TIER_C,Audio codec / representation,Audio,Continuous/discrete compressed representations,Not yet verified,Not yet verified,Not yet verified,,https://github.com/SonyCSLParis/codicodec,official code/project checked 2026-09-18,Pretrained codec is exposed through the codicodec package; separate checkpoint packaging was not audited here.,Training-data release was not verified in this pass.,1239148096a5b6725eeabb62eb950d064a951c64,LOCKED
CultureMERT: Continual Pre-Training for Cross-Cultural Music Representation Learning,2025,ISMIR,Representation / codec,YES,Cross-cultural music representation,Music audio,Cross-cultural embedding,"Continual pretraining from MERT-v1-95M: 12-layer Transformer (768 hidden) + 7-layer CNN, 24 kHz, 5 s context; MERT-like masked objective using frozen EnCodec 8×1024 RVQ targets plus CQT reconstruction.",95M,"650 h culturally diverse corpus: Greek Lyra ~50 h, Turkish makam ~200 h, Hindustani ~200 h, Carnatic ~200 h; stage-1 includes ~20 h Western Music4All within a 100 h subset.",,https://huggingface.co/ntua-slp/CultureMERT-95M,official code checked,Yes — CultureMERT-95M and TA variant released on Hugging Face,Partly: some source corpora are under research-use agreements and not freely redistributed.,,
METEOR,2025,IJCAI,Representation / codec,NO_TIER_C,Music generation / representation,Music conditions,Generated music,Not yet verified,Not yet verified,Not yet verified,,https://github.com/dinhviettoanle/meteor,official code/project checked 2026-09-18,Yes — trained checkpoint linked on Hugging Face.,Custom-data preprocessing is released; original training-data redistribution status was not re-audited.,409d5b9684ac25ed9e65ead6fa15b3ac68460033,LOCKED
MIDI-VALLE: Improving Expressive Piano Performance Synthesis Through Neural Codec Language Modelling,2025,ISMIR,Representation / codec,NO_TIER_C,Expressive piano synthesis,Symbolic/performance conditions,Expressive piano audio/performance,Not yet verified,Not yet verified,Not yet verified,,https://github.com/tangjjbetsy/MIDI-VALLE,official code/project checked 2026-09-18,Yes — Piano-Encodec and MIDI-VALLE pretrained models are released on Zenodo.,ATEPP MIDI files are available; ATEPP audio is not redistributed because of copyright restrictions.,27d698b52bea56e3dde0ff8ffd1e4a40320a9961,LOCKED
PianoBind: A Multi-Modal Joint Embedding Model for Pop-Piano Music,2025,ISMIR,Representation / codec,NO_TIER_C,Multimodal representation / retrieval,Multiple piano/music modalities,Joint embedding,Not yet verified,Not yet verified,Not yet verified,,https://github.com/Hayeonbang/PianoBind,official code/project checked 2026-09-18,Yes — pretrained PianoBind models are linked on Hugging Face.,Yes — the PIAST dataset is linked from the official project.,23e13e5f616b7b10af5f3c054bd983e2299c56e4,LOCKED
Scaling Self-Supervised Representation Learning for Symbolic Piano Performance,2025,ISMIR,Representation / codec,NO_TIER_C,Symbolic piano foundation model,Piano MIDI,Continuation / embeddings,Not yet verified,Not yet verified,Not yet verified,,https://github.com/EleutherAI/aria,official code/project checked 2026-09-18,"Yes — base, generative, and embedding checkpoints are released on Hugging Face.",Yes — Aria-MIDI is released on Hugging Face.,c2f67bc90b49335543c0249fe00fb84a9337faf8,LOCKED
ITO-Master: Inference-Time Optimization for Audio Effects Modeling of Music Mastering Processors,2025,ISMIR,Separation / restoration / production,YES,Automatic mastering / style transfer,Target track + reference track and optionally text,Mastered target audio,White-box or black-box mastering processor model + inference-time optimization over style/reference embeddings,Not yet extracted,Mastering/style-transfer data in paper; exact corpus pending,,https://github.com/SonyResearch/ITO-Master,official code checked,Repo/model status to verify,Dataset status to verify,f8e7b819eca252a17825dc6ea9a15ff21f49b70f,LOCKED
Music Source Restoration,2025,IEEE MMSP,Separation / restoration / production,NO_ADJACENT_MMSP_NOT_TARGET_CCF_AB_CORE,Music restoration,Degraded music/source audio,Restored audio,U-Former restoration baseline / challenge models,Not yet extracted,"RawStems: 578 songs, 354.13 h unprocessed stems; 8 primary and 17 secondary groups",,https://github.com/yongyizang/music-source-restoration,official code checked,Yes in challenge/repo ecosystem,RawStems released,ff5facb6bfb5e897e29afda985d9fcdfd33ecb3c,LOCKED
Universal Source Separation With Weakly Labelled Data for Computational Auditory Scene Analysis,2025,IEEE/ACM TASLP,Separation / restoration / production,YES,Universal source separation,Mixed audio / weak labels,Detected classes + separated waveforms,Universal hierarchical source separation trained from weak labels,Not yet extracted,AudioSet training; speech/audio/music evaluation datasets,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Weights status to verify,AudioSet weak labels public,,
CSSinger,2025,AAAI,Singing / transcription / performance,NO_TIER_C,Singing voice synthesis,Lyrics/score/singer condition,Singing audio,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
FreeSVC,2025,ICASSP,Singing / transcription / performance,NO_TIER_C,Singing voice conversion,Source singing + target voice condition,Converted singing voice,Not yet verified,Not yet verified,Not yet verified,,https://github.com/freds0/free-svc,official code/project checked 2026-09-18,Yes — official Hugging Face release plus required public backbone resources.,Uses multiple public/research speech and singing datasets with their own terms.,79fb57361287c52fa1b7900517a98e40a241d3d3,LOCKED
Towards Robust Automatic Music Transcription By Measuring Cross-Version Consistency,2025,ISMIR,Singing / transcription / performance,YES,Automatic music transcription,Multiple audio versions of the same composition,Cross-Version Consistency score / robustness analysis for transcription,Evaluation methodology rather than a new large transcription model,Not yet verified,Multi-version Western-classical recordings; exact corpus table remains to be fully normalized.,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Unknown / not yet verified,Unknown / not yet verified,,
Unsupervised Domain Adaptation for Music Transcription via Cross-Version Consistency,2025,ICASSP,Singing / transcription / performance,NO_TIER_C,Automatic music transcription,Music audio versions,Transcription,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
Visual Piano Transcription,2025,IJCAI,Singing / transcription / performance,NO_TIER_C,Multimodal transcription,Piano video/audio,Note transcription,Not yet verified,Not yet verified,Not yet verified,,https://github.com/Chromeilion/ppan,official code/project checked 2026-09-18,Model weights are included/linked through the official project resources.,Official project releases the R3 piano performance dataset resources.,9af195969013ca1ef9bba0d7afd487e382bd7c2c,LOCKED
Aria-MIDI: A Dataset of MIDI Files for Symbolic Music Modeling,2025,ICLR,Symbolic,NO_TIER_C,Dataset / symbolic foundation models,MIDI transcriptions,Training dataset,Not yet verified,Not yet verified,Not yet verified,,https://github.com/loubbrad/aria-midi,official dataset repository checked 2026-09-18,Not applicable — dataset release.,"Yes — full, pruned, deduped and unique subsets on Hugging Face.",24cd6d37d0dff4d63d1818f4da7b86ac53497064,LOCKED
Compose with Me,2025,AAAI,Symbolic,NO_TIER_C,Interactive symbolic composition,Partial composition + interaction,Suggested/continued music,Not yet verified,Not yet verified,Not yet verified,,https://github.com/hu-music/compose_with_me,official code/project checked 2026-09-18,Yes — model checkpoints are linked from the repository.,Bread Dataset and Lakh MIDI Dataset links are provided.,52a748810f7a83a33e30c2bef90b05301f558656,LOCKED
GETMusic,2025,IJCAI,Symbolic,NO_TIER_C,Symbolic music generation,Symbolic conditions,Multi-track symbolic music,Not yet verified,Not yet verified,Not yet verified,,https://github.com/microsoft/muzic/tree/main/getmusic,official code/project checked 2026-09-18,Inference expects a checkpoint path; a current official checkpoint download was not verified in this pass.,Example MIDI inputs are included; full training-data release was not re-audited in this pass.,2b8739671ba06f819f31f568b8a79da581aaf6f9,LOCKED
MuPT: A Generative Symbolic Music Pretrained Transformer,2025,ICLR,Symbolic,YES,Symbolic music foundation model,ABC-like symbolic notation,Generated symbolic music,Decoder-only Transformer using synchronized multi-track ABC notation,190M to 4.23B family,33.6B ABC tokens reported in paper; source mix/publicity in paper,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Yes,Large corpus composition partly public/derived,,
NotaGen: Advancing Musicality in Symbolic Music Generation with Large Language Model Training Paradigms,2025,IJCAI,Symbolic,YES,Symbolic classical music generation / LLM-style pretrain-finetune-DPO,Text/notation context,Musical notation,LLM-style pretraining/fine-tuning plus CLaMP-DPO reinforcement/preference stage.,Not yet verified,1.6M ABC pretraining pieces; ~9K high-quality classical compositions for conditional fine-tuning.,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Unknown / not yet verified,Unknown / not yet verified,,
TOMI: Transforming and Organizing Music Ideas for Multi-Track Compositions with Full-Song Structure,2025,ISMIR,Symbolic,NO_TIER_C,Symbolic composition / long-form structure,Music ideas / symbolic fragments,Structured multi-track composition,Not yet verified,Not yet verified,Not yet verified,,https://github.com/heqi201255/TOMI,official code/project checked 2026-09-18,No dedicated TOMI checkpoint is required by the documented LLM/retrieval/DAW workflow.,A local audio-sample database is part of the workflow; no standalone training-corpus release was verified.,91c4afc8fe1cbc7025bef0fcae982c31ec0dd3d9,LOCKED
