Paper,Year,Venue,Area,CCF_AB_core,Task,Input,Output,Model_architecture,Parameter_count,Dataset,Benchmark_registry,Official_code_or_project_URL,Release_status,Weights_status,Data_access_status,Checked_revision,Revision_status
TMD-Bench: Multi-Level Evaluation for Music–Dance Co-Generation,2026,ICML,Evaluation / robustness,NO_TIER_C,Multimodal evaluation,Generated music + dance,Multilevel evaluation scores,Not yet verified,Not yet verified,Not yet verified,YES,https://github.com/Collab-Gen/TMD-Bench,official code/project checked 2026-09-18,Checkpoint layout for RhyJAM and related components is documented; public checkpoint links were not fully indexed in this pass.,The repository describes a 10k-scale rhythm-aligned music-dance dataset; release links were not fully indexed in this pass.,43e3bd5c26af4efaf5444d03977839a552173784,LOCKED
TTA-Bench,2026,AAAI,Evaluation / robustness,YES,Text-to-audio evaluation,Text prompts,Generated audio + multidimensional scores,Benchmark over 10 TTA models,Models in benchmark include ~739M–1.5B+ systems; exact list in paper,"2,999 prompts; 118,314 human annotations",YES,https://github.com/NKU-HLT/TTA-Bench-tools,official code checked,Uses public model weights where available,Benchmark data public/available,bd1d8d9d2ebcb2db690f2655074f03b1fe18f4fc,LOCKED
Inference-time Scaling for Diffusion-based Audio Super-resolution,2026,AAAI,Generation,YES,Audio restoration / super-resolution / inference-time optimization,Low-resolution audio,Super-resolved audio,Diffusion SR + task-specific verifiers + random search / zero-order search over inference trajectories,Not yet verified,"Speech, music and sound-effect domains; exact datasets pending full-PDF extraction",,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Unknown / not yet verified,Unknown / not yet verified,,
PADS-TAL: Padding-Annealed Diffusion Sampling in Text-Aware Latent Space for Robust and Diverse Text-to-Music Generation,2026,ICML,Generation,YES,Text-to-music generation / sampling,Text prompt,Music audio,Diffusion sampling with padding-annealed perturbation in text-aware latent space,Not yet extracted,Benchmarks and training data in paper; exact extraction pending,,https://github.com/PADS-TAL/PADS-TAL,official code checked,No directly linked official downloadable checkpoint found in the checked repository; inference expects --ckpt-path.,Evaluation datasets available,fdc3b5181c55c2fbdccbe01a979f54f49d5498e5,LOCKED
Towards Fine-grained Audio Captioning with Multimodal Contextual Fusion,2026,ACL,Generation,NO_TIER_C,Audio-language understanding,Audio + contextual modalities,Fine-grained caption,Not yet verified,Not yet verified,Not yet verified,,https://github.com/FreedomIntelligence/FusionAudio,official code/project checked 2026-09-18,Yes — FusionAudio model release is linked on Hugging Face.,Yes — FusionAudio-1.2M is released on Hugging Face/ModelScope for research use.,69c6b6173d74b05fa18c29a9d50cd67ce2350a85,LOCKED
Towards Streaming Synchronized Spatial Audio Generation via Autoregressive Diffusion Transformer,2026,ICML,Generation,NO_TIER_C,Streaming spatial audio generation,Streaming visual/context input,Streaming spatial audio,Not yet verified,Not yet verified,Not yet verified,,https://github.com/MM-Speech/SwanSphere,official code/project checked 2026-09-18,Not released at check; repository TODO lists model checkpoints.,Training/evaluation datasets not released at check; repository TODO lists them.,0158f8dfdd82be09bba5d2d3808f5db141573318,LOCKED
YuE: Scaling Open Foundation Models for Long-Form Music Generation,2026,ICLR,Generation,YES,Long-form song generation / foundation model,Lyrics + structural/style conditions / audio prompt,Long-form song audio,"Two-stage autoregressive music LM with track-decoupled next-token prediction, structural progressive conditioning and music in-context learning",0.5B / 2B / 7B families discussed,Large-scale internal/curated music data; not fully public,,https://github.com/multimodal-art-projection/YuE,official code checked,Yes,No / training corpus not fully open,bd90e4ccae671d869b3ecaca6d7e893927d29442,LOCKED
"AudioChat: Unified Audio Storytelling, Editing, and Understanding with Transfusion Forcing",2026,ICML,Multimodal,YES,Unified audio generation/editing/understanding,Audio/text conversational context,Generated/edited audio and answers,"Unified audio-text model using Audio Transfusion Forcing, combining structured reasoning with multi-turn diffusion forcing; AudioCopilot tool-calling pipeline synthesizes multi-turn/story/edit data.",Not yet verified,"ASR/TTS ~100k h English; AC/T2A ~10k h non-speech; 6B text tokens for language mid-training; AudioCopilot creates ~6M simulated stories (~13.3k h storytelling + 26.6k h editing), with a validated 100k subset (~220 h storytelling + 440 h editing). Some audio is internal/commercially licensed.",,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Unknown / not yet verified,Unknown / not yet verified,,
AudioX: A Unified Framework for Anything-to-Audio Generation,2026,ICLR,Multimodal,YES,Unified multimodal audio/music generation / editing,Text and/or video and/or reference audio,Generated audio/music,Diffusion/Stable-Audio-Tools-derived model with Multimodal Adaptive Fusion; MAF-MMDiT variant released,"Checkpoint sizes: AudioX ~5.96GB, AudioX-MAF ~5.57GB (+~950MB synchformer), AudioX-MAF-MMDiT ~10.8GB (+VAE/synchformer assets). Exact parameter counts should be taken from config during local profiling.",IF-caps: >7M multimodal-conditioned samples in the current ICLR 2026 repository description,,https://github.com/ZeyueT/AudioX,official code checked,"Yes — official HF checkpoints for AudioX, AudioX-MAF and AudioX-MAF-MMDiT",IF-caps release/access status remains incomplete relative to model checkpoints; do not mark strict data reproduction as complete,3bdfb7081636b9e62224039e37dadaa264dc781f,LOCKED
ControlFoley: Unified and Controllable Video-to-Audio Generation with Cross-Modal Conflict Handling,2026,ACM MM,Multimodal,YES,Controllable multimodal video-to-audio / cross-modal conflict,Video + controls,Foley audio,Joint CLIP + spatiotemporal audio-visual encoding; temporal-timbre decoupling; multimodal REPA and modality dropout.,Not yet verified,VGGSound-TVC conflict benchmark plus V2A/control evaluation sets.,,https://github.com/xiaomi-research/controlfoley,official code checked,Unknown / not yet verified,Unknown / not yet verified,b6c902888d45d75f022e253e3db29836360a3f82,LOCKED
FoleyBench: A Benchmark For Video-to-Audio Models,2026,ICASSP,Multimodal,NO_TIER_C,Video-to-audio evaluation,Video + generated audio,Benchmark metrics/judgments,Benchmark,,FoleyBench; exact size pending,YES,,not indexed,,Pending,,
MMAudioSep: Taming Video-to-Audio Generative Model Towards Video/Text-Queried Sound Separation,2026,ICASSP,Multimodal,YES,Video/text-queried sound separation / multimodal audio foundation adaptation,Audio mixture + video/text query,Separated queried sound,Fine-tunes a pretrained video-to-audio generative model for query-conditioned separation while retaining V2A capability.,Pending,Pending,,https://github.com/sony/mmaudiosep,official code checked,Not verified,Pending,e078a18fb4120bce9ab5ae79dc4718313d3c9e0d,LOCKED
SALSA-V: Shortcut-Augmented Long-form Synchronized Audio from Videos,2026,ICML,Multimodal,YES,Video-to-audio / long-form synchronization,Long video,Synchronized audio,Stable-Audio-based audio encoder/VAE with VideoPrism+AST synchronization; masked diffusion/outpainting for long form plus shortcut loss for few-step generation.,Not yet verified,Not yet verified,,https://github.com/ETH-DISCO/SALSA-V,official code checked,Unknown / not yet verified,Unknown / not yet verified,c0639395c6de48b9c97fb18325c042d9f0099283,LOCKED
"Video Echoed in Music: Semantic, Temporal, and Rhythmic Alignment for Video-to-Music Generation",2026,AAAI,Multimodal,YES,Video-to-music / multimodal alignment,Video,Music audio,Latent music diffusion + hierarchical video parsing + storyboard-guided cross-attention + transition-beat aligner/adapters,Not yet verified,New paired video-music dataset from e-commerce advertisements and video-sharing platforms; release status not yet verified,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Unknown / not yet verified,Unknown / not yet verified,,
Do Foundational Audio Encoders Understand Music Structure?,2026,ICASSP,Music understanding / Music-LM,YES,Music structure analysis / foundation audio encoder evaluation,Music audio,Structural representation/evaluation,Linear probing/structure evaluation across 11 foundational audio encoders.,Multiple encoders,Harmonix/RWC-based music structure analysis setup in official MSA-bench.,,https://github.com/sony/MSA-bench,official code checked,Public encoders likely; exact list pending,Pending,6295161e73a43ccfe04072d9108e760ee5ff6213,LOCKED
Jamendo-MT-QA: A Benchmark for Multi-Track Comparative Music Question Answering,2026,Findings of ACL,Music understanding / Music-LM,YES,Music understanding / comparative multi-track reasoning,Two music tracks + comparative question,"Yes/no, short answer, or sentence-level comparative answer",Benchmark of caption-based and direct multi-audio audio-language models,Varies by evaluated model,"36,519 QA items over 12,173 Creative-Commons Jamendo track pairs; three question forms per pair. LLM-assisted generation/filtering uses music descriptions/captions and human/LLM validation.",YES,https://github.com/MAAP-LAB/Jamendo-MT-QA,official code checked,Uses open/closed benchmarked models depending experiment,Creative-Commons Jamendo-derived benchmark; release terms/source track availability must be respected,49735add63136ddd997ee53ed9c0404e60ece42b,LOCKED
Music Atelier: Exploring the Knowing–Doing Gap in LLM Creativity via Symbolic Music Composition,2026,IJCAI,Music understanding / Music-LM,YES,Music reasoning / symbolic composition evaluation,User intent + LLM reasoning + symbolic score,Composition + realization analysis,LLM-as-a-Judge framework plus realizational process theory,Depends on evaluated LLMs,Evaluation corpus constructed by authors; exact details pending,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,,Evaluation data status to verify,,
Music Audio-Visual Question Answering Requires Specialized Multimodal Designs,2026,Findings of ACL,Music understanding / Music-LM,YES,Music audio-visual question answering / multimodal design survey+analysis,Music audio + video + question,Answer,"Systematic empirical analysis of input processing, spatial-temporal and music-specific designs.",Not yet verified,Not yet verified,,https://github.com/WenhaoYou1/Survey4MusicAVQA,official code checked,Unknown / not yet verified,Unknown / not yet verified,e5caf0f216e25f46913fd47350a0ffdb248cada8,LOCKED
Music Flamingo: Scaling Music Understanding in Audio Language Models,2026,ICLR,Music understanding / Music-LM,YES,Music understanding / reasoning / long-audio audio-language model,Music/song audio + text question/instruction,Natural-language music analysis / answers / reasoning,Music Flamingo / Audio Flamingo 3 architecture: AF-Whisper unified audio encoder + MLP audio adaptor + Qwen2.5-7B decoder-only LLM; Rotary Time Embeddings and long-audio windowing.,8B in official 2026 Hugging Face model card,MF-Skills: 4M+ rich music samples/annotations assembled from multiple music/audio corpora; MF-Think: ~300k reasoning examples. Dataset generation includes automated labeling and is subject to source/model terms.,,https://huggingface.co/nvidia/music-flamingo-2601-hf,official code checked,Yes — nvidia/music-flamingo-2601-hf; single safetensors ~16.5GB,"MF-Skills resources are released, but exact source-data/license coverage varies; not equivalent to a single fully redistributable corpus.",,
Revisiting Audio-language Pretraining for Learning General-purpose Audio Representation,2026,ACL,Music understanding / Music-LM,YES,Audio-language pretraining / general audio representation,Audio + text captions during pretraining,General-purpose audio representation / captions / downstream predictions,Zipformer-M audio encoder + BERT-base contrastive text encoder and/or BART-base captioning decoder,Modest/general-purpose encoder stack; exact total varies by objective configuration,"CaptionStew: 10.7M captions over 9.3M audio samples, ~37,290 hours spanning speech, music and environmental sound.",,https://github.com/AudenAI/Auden,official code checked,Pretrained releases available through Auden project ecosystem,CaptionStew aggregates open audio-text corpora and the authors release preparation recipes; this is not necessarily one redistributable tarball because component dataset licenses/access differ.,2f78687c446a946ff09e2ffd4335125b82baec32,LOCKED
BEAT: Tokenizing and Generating Symbolic Music by Uniform Temporal Steps,2026,ICML,Representation / codec,YES,Symbolic representation / generation,Symbolic music,Token sequence / continued or accompanied symbolic music,"Uniform temporal-step sparse piano-roll-like tokenization; 16-layer LLaMA-style decoder, RoPE, 2048 context; controlled comparisons against REMI/REMI+, CPWord and Interleaved ABC.",150M,"Lakh MIDI: ~148k processed pieces / ~8.6k h for multitrack; piano: ~15k LMD + ~193k MuseScore = ~208k pieces. Quantized to 16th-note grid, song-level 80/10/10 split, transposition augmentation.",,https://github.com/Lekai-Qian/BEAT-code,official code checked,Yes — pretrained checkpoint archive released; repo provides SHA-256,"Yes/mostly: official repo provides a 169,283-piece v3-deduplicated MusicXML collection and LMD conversion scripts; underlying source licenses still apply.",1902b46cdd566747021ab6b2032d478bf8ac3508,LOCKED
Continuous Audio Language Models,2026,ICLR,Representation / codec,YES,Audio/music language modeling / continuous representation,Text/audio context depending task,Speech/music generated from continuous VAE latent frames,Transformer contextual backbone + MLP continuous-frame predictor trained through consistency modeling over audio-VAE frames,Music configuration is large (paper/reproduction notes indicate ~1.35B backbone + ~601M flow/consistency head for one music setup); officially released Pocket TTS is a separate 100M speech model.,Speech and music generation datasets in paper; exact music corpus/release status still to be normalized,,https://huggingface.co/kyutai/pocket-tts,partial release,Pocket TTS 100M public; music-generation CALM checkpoint status incomplete,Mixed / not yet normalized,,
PHALAR: Phasors for Learned Musical Audio Representations,2026,ICML,Representation / codec,YES,Music representation / structural retrieval,Music audio / stems,Embedding and coherence/retrieval score,Phasor-based learned musical representation,2.3M parameters reported,"MoisesDB, Slakh and other music coherence/retrieval evaluations",,https://github.com/gladia-research-group/phalar,official code checked,Weights/project assets reported,Evaluation data substantially public,4a333999d60a0abce6524521fa4892d87bcc3c3d,LOCKED
SPEAR: A Unified SSL Framework for Learning Speech and Audio Representations,2026,ICML,Representation / codec,NO_TIER_C,Audio foundation representation,Audio,Representation/embedding,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
STAR-VAE: Structured Topology-Aware Regularization for Audio Reconstruction and Generation,2026,ICML,Representation / codec,YES,Audio representation / codec-like latent modeling,Audio,Continuous latent + reconstructed/generated audio,Topology-aware VAE regularization + CNN/Mamba backbone + flow-matching generation,Not yet extracted,Audio datasets in paper; exact list pending,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Weights to verify,Dataset status mixed,,
Scaling Transformers for End-to-End Discrete Audio Tokenization,2026,ICML,Representation / codec,NO_TIER_C,Audio codec / tokenization,Audio,Discrete tokens + reconstructed audio,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
Automatic Music Mixing Using a Generative Model of Effect Embeddings,2026,ICASSP,Separation / restoration / production,YES,Automatic mixing / production,Unprocessed multitrack audio (including unlabeled/arbitrary tracks),Mixed/mastered-style multitrack combination,MEGAMI: generative per-track effect embeddings + track-agnostic effects processor + permutation-equivariant architecture + dry/wet domain adaptation,Pending,Dry and wet recordings via domain adaptation; exact corpus pending paper extraction,,https://github.com/SonyResearch/MEGAMI,official code checked,Not verified,Pending,3b04d8b9f4ea3409532115b13e4c7f0bc2b5e1a1,LOCKED
"Enhance, Then Separate: A Two-Stage Framework for Music Source Restoration",2026,ICASSP,Separation / restoration / production,YES,Music source restoration / bandwidth restoration + separation,Degraded music mixture,Restored separated stems,"Two-stage unified BSRoFormer backbone: spectral bandwidth extension, then target source separation.",Not yet verified,Not yet verified,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Unknown / not yet verified,Unknown / not yet verified,,
LLM2Fx-Tools: Tool Calling For Music Post-Production,2026,ICLR,Separation / restoration / production,YES,Music post-production / audio effects reverse engineering / tool calling,Dry audio + processed/reference audio + instruction,CoT + ordered effect-tool calls + parameters + response,"Fx-Encoder++ audio features + transformer audio-language adapter with 32 learnable query embeddings + Qwen3-4B backbone; LoRA rank 128, alpha 256; autoregressive next-token tool-call prediction.",Qwen3-4B backbone + audio encoder/adapter; LoRA fine-tuning,"LP-Fx: 99,900 train / 900 test dialogues; 2,019 train tracks / 100 test tracks; 80 train instruments / 33 test instruments; 9 genres; 1–9 tools per chain.",,https://github.com/SonyResearch/LLM2Fx,official code checked,Checkpoint/release completeness still to be pinned; code/resources public,LP-Fx resources linked by project/repository; exact audio redistribution and generated-dialogue terms must be checked before strict reproduction,55883b10b105c0e286a23bb2f990c7e4cfd9aef0,LOCKED
SonicMaster: Towards Controllable All-in-One Music Restoration and Mastering,2026,ICML,Separation / restoration / production,YES,Restoration / enhancement / mastering,Degraded music + text or automatic condition,Restored/mastered music,Conditional generative restoration/mastering model; paper/repo checked,Not yet extracted exactly,25k high-quality 30 s Jamendo segments × 7 degradation variants = 175k pairs; 19 degradation types in five groups,,https://github.com/AMAAI-Lab/SonicMaster,official code checked,Yes / repo model assets available,Base music public; degradation pipeline public,ab32b2d456e461b6bbc188d666caf2eabefa2f31,LOCKED
Towards Blind Data Cleaning: A Case Study in Music Source Separation,2026,ICASSP,Separation / restoration / production,NO_TIER_C,Music source separation / data quality,MSS training data,Cleaned/filtered training data or improved separator,Blind data-cleaning methodology applied to MSS,N/A/depends on separator,Pending full paper,,,not indexed,Not yet verified,Pending,,
HQ-SVC: Towards High-Quality Zero-Shot Singing Voice Conversion in Low-Resource Scenarios,2026,AAAI,Singing / transcription / performance,YES,Singing voice conversion / voice super-resolution,Source singing + target speaker/singer condition,Converted singing audio,Decoupled codec for joint content/speaker features + pitch/volume modeling + differentiable DSP + diffusion refinement,Pending,Pending full-PDF extraction,,https://github.com/ShawnPi233/HQ-SVC,official code checked,Not yet verified,Pending,853a18883f6d380d5e9f9b4bf244d602b6d9d320,LOCKED
Noise-to-Notes: Diffusion-Based Generation and Refinement for Automatic Drum Transcription,2026,ICASSP,Singing / transcription / performance,NO_TIER_C,Automatic drum transcription,Drum/music audio,Drum note transcription,Diffusion-based generation and refinement,Pending,Pending,,,not indexed,Not verified,Pending,,
S²Voice,2026,ICASSP,Singing / transcription / performance,NO_TIER_C,Singing voice,Singing/audio conditions,Singing voice,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
VioPTT: Violin Technique-Aware Transcription from Synthetic Data Augmentation,2026,ICASSP,Singing / transcription / performance,NO_TIER_C,Automatic music transcription / playing technique,Violin audio,Technique-aware transcription,Technique-aware transcription with synthetic data augmentation,Pending,Pending,,https://github.com/y10ab1/VioPTT,official code/project checked 2026-09-18,Checkpoint paths are part of the released workflow; release completeness was not separately audited.,The official project page links the MOSA-VPT dataset.,30e62fb18f5c8b6ddef30d8e68b13386f2333776,LOCKED
Is Symbolic Music a Specific Language? Exploring Inspiration-to-Structure Machine Composition via LLMs,2026,AAAI,Symbolic,YES,LLM symbolic composition / inspiration-to-structure,Symbolic music,Generated/understood symbolic sequence,Inspiration-to-Structure (IoS) cognition framing + structural data and DiSCO structural contrastive approach.,Not yet verified,Not yet verified,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Unknown / not yet verified,Unknown / not yet verified,,
Of All StrIPEs: Investigating Structure-Informed Positional Encoding for Efficient Music Generation,2026,IEEE/ACM TASLP,Symbolic,NO_TIER_C,Symbolic music generation / positional encoding,Symbolic music,Generated symbolic music,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
