Paper,Venue,Year,Evidence_Domain,Repo,Resource_URL,Code_Status,Weights,Dataset_public,Source_Checked_Date
MusicDET: Zero-Shot AI-Generated Music Detection,ICML,2026,Evaluation / robustness,Chaolei98/MusicDET,https://github.com/Chaolei98/MusicDET,OFFICIAL_CODE_LOCKED,Backbones public (e.g. MERT / wav2vec variants); no complete official MusicDET detector checkpoint was found in checked repo.,Evaluation uses public/generated-music benchmark sources; some training CSV/resources are separately linked.,2026-09-07
TTA-Bench,AAAI,2026,Evaluation / robustness,NKU-HLT/TTA-Bench-tools,https://github.com/NKU-HLT/TTA-Bench-tools,OFFICIAL_CODE_LOCKED,Uses public model weights where available,Benchmark data public/available,2026-09-07
DiffRhythm 2: Efficient And High Fidelity Song Generation Via Block Flow Matching,Open-source preprint / ecosystem,2025,Generation,xiaomi-research/diffrhythm2,https://github.com/xiaomi-research/diffrhythm2,ECOSYSTEM_ONLY,Yes — official released weights,Not strict-training reproducible yet,2026-09-07
LeVo: High-Quality Song Generation with Multi-Preference Alignment,NeurIPS,2025,Generation,tencent-ailab/songgeneration,https://github.com/tencent-ailab/songgeneration,OFFICIAL_CODE_LOCKED,Yes,No,2026-09-07
Live Music Models,NeurIPS,2025,Generation,magenta/magenta-realtime,https://github.com/magenta/magenta-realtime,OFFICIAL_CODE_LOCKED,Yes,Training data not fully public,2026-09-07
QA-MDT: Quality-aware Masked Diffusion Transformer for Enhanced Music Generation,IJCAI,2025,Generation,ivcylc/OpenMusic,https://github.com/ivcylc/OpenMusic,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified,2026-09-07
SongBloom: Coherent Song Generation via Interleaved Autoregressive Sketching and Diffusion Refinement,NeurIPS,2025,Generation,tencent-ailab/SongBloom,https://github.com/tencent-ailab/SongBloom,OFFICIAL_CODE_LOCKED,"Yes — 2B 150s, 150s-DPO and 240s variants",Training data status unclear/nonpublic,2026-09-07
PADS-TAL: Padding-Annealed Diffusion Sampling in Text-Aware Latent Space for Robust and Diverse Text-to-Music Generation,ICML,2026,Generation,PADS-TAL/PADS-TAL,https://github.com/PADS-TAL/PADS-TAL,OFFICIAL_CODE_LOCKED,No directly linked official downloadable checkpoint found in the checked repository; inference expects --ckpt-path.,Evaluation datasets available,2026-09-07
YuE: Scaling Open Foundation Models for Long-Form Music Generation,ICLR,2026,Generation,multimodal-art-projection/YuE,https://github.com/multimodal-art-projection/YuE,OFFICIAL_CODE_LOCKED,Yes,No / training corpus not fully open,2026-09-07
GVMGen: A General Video-to-Music Generation Model with Hierarchical Attentions,AAAI,2025,Multimodal,chouliuzuo/GVMGen,https://github.com/chouliuzuo/GVMGen,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified,2026-09-07
Spatial-Temporal Decomposition and Alignment in Controllable Video-to-Music Generation,ACM MM,2025,Multimodal,chouliuzuo/ControllableV2M,https://github.com/chouliuzuo/ControllableV2M,OFFICIAL_CODE_LOCKED,,,2026-09-07
AudioX: A Unified Framework for Anything-to-Audio Generation,ICLR,2026,Multimodal,ZeyueT/AudioX,https://github.com/ZeyueT/AudioX,OFFICIAL_CODE_LOCKED,"Yes — official HF checkpoints for AudioX, AudioX-MAF and AudioX-MAF-MMDiT",IF-caps release/access status remains incomplete relative to model checkpoints; do not mark strict data reproduction as complete,2026-09-07
ControlFoley: Unified and Controllable Video-to-Audio Generation with Cross-Modal Conflict Handling,ACM MM,2026,Multimodal,xiaomi-research/controlfoley,https://github.com/xiaomi-research/controlfoley,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified,2026-09-07
MMAudioSep: Taming Video-to-Audio Generative Model Towards Video/Text-Queried Sound Separation,ICASSP,2026,Multimodal,sony/mmaudiosep,https://github.com/sony/mmaudiosep,OFFICIAL_CODE_LOCKED,Not verified,Pending,2026-09-07
SALSA-V: Shortcut-Augmented Long-form Synchronized Audio from Videos,ICML,2026,Multimodal,ETH-DISCO/SALSA-V,https://github.com/ETH-DISCO/SALSA-V,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified,2026-09-07
MuChin: A Chinese Colloquial Description Benchmark for Evaluating Language Models in the Field of Music,IJCAI,2024,Music understanding / Music-LM,CarlWangChina/MuChin,https://github.com/CarlWangChina/MuChin,OFFICIAL_CODE_LOCKED,,Yes,2026-09-07
CMI-Bench: A Comprehensive Benchmark for Evaluating Music Instruction Following,ISMIR,2025,Music understanding / Music-LM,nicolaus625/CMI-bench,https://github.com/nicolaus625/CMI-bench,OFFICIAL_CODE_LOCKED,Uses open-weight evaluated models,Yes for benchmark assembly; underlying source-dataset licenses differ,2026-09-07
DeepResonance: Enhancing Multimodal Music Understanding via Music-centric Multi-way Instruction Tuning,EMNLP,2025,Music understanding / Music-LM,sony/DeepResonance,https://github.com/sony/DeepResonance,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified,2026-09-07
SLAP: Siamese Language-Audio Pretraining Without Negative Samples for Music Understanding,ISMIR,2025,Music understanding / Music-LM,Pliploop/SLAP,https://github.com/Pliploop/SLAP,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified,2026-09-07
When Audio and Text Disagree: Revealing Text Bias in Large Audio-Language Models,EMNLP,2025,Music understanding / Music-LM,WangCheng0116/MCR-BENCH,https://github.com/WangCheng0116/MCR-BENCH,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified,2026-09-07
WildScore: Benchmarking MLLMs in-the-Wild Symbolic Music Reasoning,EMNLP,2025,Music understanding / Music-LM,GaganVM/WildScore,https://github.com/GaganVM/WildScore,OFFICIAL_CODE_LOCKED,,Dataset release status in paper,2026-09-07
Do Foundational Audio Encoders Understand Music Structure?,ICASSP,2026,Music understanding / Music-LM,sony/MSA-bench,https://github.com/sony/MSA-bench,OFFICIAL_CODE_LOCKED,Public encoders likely; exact list pending,Pending,2026-09-07
Jamendo-MT-QA: A Benchmark for Multi-Track Comparative Music Question Answering,Findings of ACL,2026,Music understanding / Music-LM,MAAP-LAB/Jamendo-MT-QA,https://github.com/MAAP-LAB/Jamendo-MT-QA,OFFICIAL_CODE_LOCKED,Uses open/closed benchmarked models depending experiment,Creative-Commons Jamendo-derived benchmark; release terms/source track availability must be respected,2026-09-07
Music Audio-Visual Question Answering Requires Specialized Multimodal Designs,Findings of ACL,2026,Music understanding / Music-LM,WenhaoYou1/Survey4MusicAVQA,https://github.com/WenhaoYou1/Survey4MusicAVQA,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified,2026-09-07
Revisiting Audio-language Pretraining for Learning General-purpose Audio Representation,ACL,2026,Music understanding / Music-LM,AudenAI/Auden,https://github.com/AudenAI/Auden,OFFICIAL_CODE_LOCKED,Pretrained releases available through Auden project ecosystem,CaptionStew aggregates open audio-text corpora and the authors release preparation recipes; this is not necessarily one redistributable tarball because component dataset licenses/access differ.,2026-09-07
Perception-Inspired Graph Convolution for Music Understanding Tasks,IJCAI,2024,Representation / codec,manoskary/musgconv,https://github.com/manoskary/musgconv,OFFICIAL_CODE_LOCKED,Yes,,2026-09-07
ALMTokenizer: A Low-bitrate and Semantic-rich Audio Codec Tokenizer for Audio Language Modeling,ICML,2025,Representation / codec,yangdongchao/ALMTokenizer,https://github.com/yangdongchao/ALMTokenizer,OFFICIAL_CODE_LOCKED,Weights status to verify,Mixed,2026-09-07
BEAT: Tokenizing and Generating Symbolic Music by Uniform Temporal Steps,ICML,2026,Representation / codec,Lekai-Qian/BEAT-code,https://github.com/Lekai-Qian/BEAT-code,OFFICIAL_CODE_LOCKED,Yes — pretrained checkpoint archive released; repo provides SHA-256,"Yes/mostly: official repo provides a 169,283-piece v3-deduplicated MusicXML collection and LMD conversion scripts; underlying source licenses still apply.",2026-09-07
PHALAR: Phasors for Learned Musical Audio Representations,ICML,2026,Representation / codec,gladia-research-group/phalar,https://github.com/gladia-research-group/phalar,OFFICIAL_CODE_LOCKED,Weights/project assets reported,Evaluation data substantially public,2026-09-07
Separate Anything You Describe,IEEE/ACM TASLP,2024,Separation / restoration / production,Audio-AGI/AudioSep,https://github.com/Audio-AGI/AudioSep,OFFICIAL_CODE_LOCKED,Yes,Several evaluation datasets public; training mixture/data details mixed,2026-09-07
ITO-Master: Inference-Time Optimization for Audio Effects Modeling of Music Mastering Processors,ISMIR,2025,Separation / restoration / production,SonyResearch/ITO-Master,https://github.com/SonyResearch/ITO-Master,OFFICIAL_CODE_LOCKED,Repo/model status to verify,Dataset status to verify,2026-09-07
Music Source Restoration,IEEE MMSP,2025,Separation / restoration / production,yongyizang/music-source-restoration,https://github.com/yongyizang/music-source-restoration,OFFICIAL_CODE_LOCKED,Yes in challenge/repo ecosystem,RawStems released,2026-09-07
Automatic Music Mixing Using a Generative Model of Effect Embeddings,ICASSP,2026,Separation / restoration / production,SonyResearch/MEGAMI,https://github.com/SonyResearch/MEGAMI,OFFICIAL_CODE_LOCKED,Not verified,Pending,2026-09-07
LLM2Fx-Tools: Tool Calling For Music Post-Production,ICLR,2026,Separation / restoration / production,SonyResearch/LLM2Fx,https://github.com/SonyResearch/LLM2Fx,OFFICIAL_CODE_LOCKED,Checkpoint/release completeness still to be pinned; code/resources public,LP-Fx resources linked by project/repository; exact audio redistribution and generated-dialogue terms must be checked before strict reproduction,2026-09-07
SonicMaster: Towards Controllable All-in-One Music Restoration and Mastering,ICML,2026,Separation / restoration / production,AMAAI-Lab/SonicMaster,https://github.com/AMAAI-Lab/SonicMaster,OFFICIAL_CODE_LOCKED,Yes / repo model assets available,Base music public; degradation pipeline public,2026-09-07
HQ-SVC: Towards High-Quality Zero-Shot Singing Voice Conversion in Low-Resource Scenarios,AAAI,2026,Singing / transcription / performance,ShawnPi233/HQ-SVC,https://github.com/ShawnPi233/HQ-SVC,OFFICIAL_CODE_LOCKED,Not yet verified,Pending,2026-09-07
