System,Area,Repo,Resource_URL,Locked_SHA,Head_Date,Lock_Checked_Date,Code_Status,Weights_Status,Dataset_Status
Jamendo-MT-QA: A Benchmark for Multi-Track Comparative Music Question Answering,Music understanding / Music-LM,MAAP-LAB/Jamendo-MT-QA,https://github.com/MAAP-LAB/Jamendo-MT-QA,49735add63136ddd997ee53ed9c0404e60ece42b,2026-05-10T09:03:53Z,2026-09-17,OFFICIAL_CODE_LOCKED,Uses open/closed benchmarked models depending experiment,Creative-Commons Jamendo-derived benchmark; release terms/source track availability must be respected
BEAT: Tokenizing and Generating Symbolic Music by Uniform Temporal Steps,Representation / codec,Lekai-Qian/BEAT-code,https://github.com/Lekai-Qian/BEAT-code,1902b46cdd566747021ab6b2032d478bf8ac3508,2026-08-05T15:58:16Z,2026-09-17,OFFICIAL_CODE_LOCKED,Yes — pretrained checkpoint archive released; repo provides SHA-256,"Yes/mostly: official repo provides a 169,283-piece v3-deduplicated MusicXML collection and LMD conversion scripts; underlying source licenses still apply."
PHALAR: Phasors for Learned Musical Audio Representations,Representation / codec,gladia-research-group/phalar,https://github.com/gladia-research-group/phalar,4a333999d60a0abce6524521fa4892d87bcc3c3d,2026-05-08T08:50:47Z,2026-09-17,OFFICIAL_CODE_LOCKED,Weights/project assets reported,Evaluation data substantially public
ALMTokenizer: A Low-bitrate and Semantic-rich Audio Codec Tokenizer for Audio Language Modeling,Representation / codec,yangdongchao/ALMTokenizer,https://github.com/yangdongchao/ALMTokenizer,62875d6181ba58bf6e8f6a60082460c2079710b0,2025-04-14T08:45:34Z,2026-09-17,OFFICIAL_CODE_LOCKED,Weights status to verify,Mixed
Separate Anything You Describe,Separation / restoration / production,Audio-AGI/AudioSep,https://github.com/Audio-AGI/AudioSep,944583f18b84589dc965de3ad77525c945334252,2024-11-26T20:33:39Z,2026-09-17,OFFICIAL_CODE_LOCKED,Yes,Several evaluation datasets public; training mixture/data details mixed
SonicMaster: Towards Controllable All-in-One Music Restoration and Mastering,Separation / restoration / production,AMAAI-Lab/SonicMaster,https://github.com/AMAAI-Lab/SonicMaster,ab32b2d456e461b6bbc188d666caf2eabefa2f31,2026-09-16T05:51:58Z,2026-09-17,OFFICIAL_CODE_LOCKED,Yes / repo model assets available,Base music public; degradation pipeline public
LLM2Fx-Tools: Tool Calling For Music Post-Production,Separation / restoration / production,SonyResearch/LLM2Fx,https://github.com/SonyResearch/LLM2Fx,55883b10b105c0e286a23bb2f990c7e4cfd9aef0,2026-03-31T13:58:43Z,2026-09-17,OFFICIAL_CODE_LOCKED,Checkpoint/release completeness still to be pinned; code/resources public,LP-Fx resources linked by project/repository; exact audio redistribution and generated-dialogue terms must be checked before strict reproduction
MusicDET: Zero-Shot AI-Generated Music Detection,Evaluation / robustness,Chaolei98/MusicDET,https://github.com/Chaolei98/MusicDET,087a758955a638dca68ef0dcbb81107fce48d60f,2026-09-01T07:33:52Z,2026-09-17,OFFICIAL_CODE_LOCKED,Backbones public (e.g. MERT / wav2vec variants); no complete official MusicDET detector checkpoint was found in checked repo.,Evaluation uses public/generated-music benchmark sources; some training CSV/resources are separately linked.
CMI-RewardBench: Evaluating Music Reward Models with Compositional Multimodal Instruction,Evaluation / robustness,Haiwen-Xia/CMI-RewardBench,https://github.com/Haiwen-Xia/CMI-RewardBench,9235ef5c34106b63669958adfaa2eab61bd0e2cd,2026-05-21T11:37:04Z,2026-09-17,OFFICIAL_CODE_LOCKED,Yes,Yes
Instruct-MusicGen: Unlocking Text-to-Music Editing for Music Language Models via Instruction Tuning,Evaluation / robustness,ldzhangyx/instruct-MusicGen,https://github.com/ldzhangyx/instruct-MusicGen,037c2da2458dc07a745ff7ddbef15a3a28082b4c,2026-01-14T00:03:59Z,2026-09-17,OFFICIAL_CODE_LOCKED,Community/retrained checkpoint public; note repo says it is not Sony official,Slakh public
